MSE,Euclidean Distance,Cosine Distance
0.0022394931875169277,1.0708036422729492,0.20012760162353516
0.007097260560840368,1.906252145767212,0.47255945205688477
0.012980625033378601,2.5779991149902344,0.5874929130077362
0.008331641554832458,2.0653815269470215,0.5202400386333466
0.0021444715093821287,1.0478403568267822,0.19737613201141357
0.00872812606394291,2.1139538288116455,0.5593149662017822
0.005000565201044083,1.6000903844833374,0.3192373514175415
0.004623504355549812,1.5385818481445312,0.3636338710784912
0.0036844094283878803,1.3734692335128784,0.3178027272224426
0.0044000716879963875,1.5009453296661377,0.33739763498306274
0.005741564556956291,1.7145497798919678,0.4036499857902527
0.0029088237788528204,1.2203761339187622,0.24468600749969482
0.006235276814550161,1.7867461442947388,0.44683152437210083
0.00503343902528286,1.6053413152694702,0.37912654876708984
0.003326276782900095,1.3050110340118408,0.268257737159729
0.00841493159532547,2.075679302215576,0.5092639625072479
0.0062896935269236565,1.7945258617401123,0.4446462392807007
0.007108896039426327,1.9078141450881958,0.4409412145614624
0.0060321493074297905,1.7574015855789185,0.4252934455871582
0.003109704004600644,1.26181161403656,0.24064230918884277
0.004426638595759869,1.5054696798324585,0.3563559055328369
0.0049378471449017525,1.590024471282959,0.42499589920043945
0.0033007911406457424,1.3000019788742065,0.2810431122779846
0.011322157457470894,2.407684564590454,0.5037627816200256
0.005570070818066597,1.68874990940094,0.4084458351135254
0.003707664553076029,1.3777968883514404,0.3372759222984314
0.0027104446198791265,1.1780270338058472,0.22695016860961914
0.005828628316521645,1.7275004386901855,0.4414404034614563
0.0017864244291558862,0.9563729763031006,0.1591537594795227
