MSE,Euclidean Distance,Cosine Distance,L1 Distance,Pearson Correlation,Dot Product,Jaccard Similarity,Hamming Distance,Mahalanobis Distance
0.0025954004377126694,1.1527553796768188,0.014541923999786377,16.9765625,0.9788290858268738,33.172325134277344,0.6851851851851852,17,11.866120338439941
0.013765730895102024,2.6548171043395996,0.04663717746734619,41.36563491821289,0.9205660820007324,43.78400802612305,0.4367816091954023,49,18.11927032470703
0.01560555212199688,2.8266663551330566,0.1309976577758789,48.401145935058594,0.7908300757408142,25.751893997192383,0.2826086956521739,33,13.608099937438965
0.020144101232290268,3.2115073204040527,0.12941789627075195,51.285709381103516,0.7521517276763916,29.533939361572266,0.18032786885245902,50,16.68879508972168
0.04393598809838295,4.742913246154785,0.0935971736907959,72.57060241699219,0.8382704257965088,55.076629638671875,0.2923076923076923,92,19.646432876586914
0.0047227246686816216,1.5550031661987305,0.03913843631744385,22.9537353515625,0.9453173279762268,27.366310119628906,0.7045454545454546,13,20.247116088867188
0.019022922962903976,3.1208550930023193,0.09386569261550903,48.55194091796875,0.845418393611908,34.774269104003906,0.24358974358974358,59,16.41202735900879
0.03244432061910629,4.075719833374023,0.16323775053024292,62.57574462890625,0.7252911925315857,32.21092987060547,0.14285714285714285,72,13.958017349243164
0.015526462346315384,2.8194944858551025,0.08875399827957153,46.267906188964844,0.8403297066688538,34.268280029296875,0.3466666666666667,49,15.602593421936035
0.03615499287843704,4.302482604980469,0.157517671585083,65.37313842773438,0.7346680760383606,33.387332916259766,0.08791208791208792,83,14.460579872131348
0.025215603411197662,3.5931029319763184,0.20067405700683594,57.65732192993164,0.661526620388031,25.6546630859375,0.2786885245901639,44,15.427326202392578
0.0045041246339678764,1.5185887813568115,0.04313862323760986,22.756479263305664,0.9347149729728699,25.440780639648438,0.6341463414634146,15,13.707442283630371
0.036459557712078094,4.320566177368164,0.13619470596313477,71.26220703125,0.7251704931259155,40.821537017822266,0.17757009345794392,88,19.158512115478516
0.01490898709744215,2.7628610134124756,0.10091274976730347,44.344329833984375,0.8093948364257812,33.13282775878906,0.35294117647058826,44,14.606884002685547
0.024985535070300102,3.5766735076904297,0.21050965785980225,59.88843536376953,0.633356511592865,23.731752395629883,0.2727272727272727,40,13.164766311645508
0.02513066679239273,3.5870463848114014,0.19288963079452515,61.45270538330078,0.6480302810668945,25.581039428710938,0.13114754098360656,53,11.017194747924805
0.02052413858473301,3.2416598796844482,0.060175299644470215,53.042945861816406,0.8925273418426514,50.46337127685547,0.3302752293577982,73,20.431894302368164
0.02793976664543152,3.7822163105010986,0.2301696538925171,64.68711853027344,0.5817699432373047,23.55371856689453,0.1,54,12.312726974487305
0.04220735281705856,4.6486735343933105,0.17058134078979492,75.22407531738281,0.6970114707946777,39.993045806884766,0.25225225225225223,83,18.464839935302734
0.004824679344892502,1.5716984272003174,0.03677821159362793,24.069965362548828,0.9449706673622131,30.00804901123047,0.5636363636363636,24,19.595855712890625
0.01881132647395134,3.103449583053589,0.07993197441101074,47.799957275390625,0.8686559796333313,40.71959686279297,0.5,38,16.217994689941406
0.004428007639944553,1.5057024955749512,0.040764689445495605,22.367919921875,0.9358581304550171,24.372974395751953,0.6285714285714286,13,18.104400634765625
0.015998534858226776,2.8620359897613525,0.09583139419555664,47.747833251953125,0.8282437920570374,28.117509841918945,0.12962962962962962,47,21.687910079956055
0.02451303042471409,3.5426926612854004,0.06331169605255127,53.30774688720703,0.8967735767364502,49.58961486816406,0.4375,63,22.40753936767578
0.02444734238088131,3.537942886352539,0.1872209906578064,60.88713836669922,0.6624161005020142,26.28608512878418,0.22580645161290322,48,13.9583101272583
0.004201654344797134,1.4667129516601562,0.04159420728683472,21.362764358520508,0.9378870129585266,24.63170623779297,0.6216216216216216,14,12.581372261047363
0.02391650155186653,3.499321222305298,0.17944765090942383,57.618812561035156,0.705074667930603,26.20889663696289,0.2786885245901639,44,14.408276557922363
0.03613080084323883,4.3010430335998535,0.27096474170684814,71.09671783447266,0.5373315811157227,24.444467544555664,0.16666666666666666,55,13.697340965270996
0.021679095923900604,3.331620693206787,0.09268927574157715,52.309234619140625,0.8395187258720398,40.9259033203125,0.391304347826087,56,13.353235244750977
0.012090465053915977,2.488034963607788,0.0799105167388916,41.141448974609375,0.8613786697387695,26.453454971313477,0.2,36,19.058326721191406
0.011348625645041466,2.4104971885681152,0.10725986957550049,37.048500061035156,0.826632022857666,23.48696517944336,0.30952380952380953,29,21.228450775146484
0.015896862372756004,2.8529272079467773,0.10453248023986816,46.85940933227539,0.8045525550842285,30.299345016479492,0.22727272727272727,51,21.692075729370117
0.02006070874631405,3.204853057861328,0.10320073366165161,54.02435302734375,0.7904791831970215,36.29476547241211,0.2857142857142857,60,18.60293197631836
0.035957757383584976,4.290730953216553,0.15560460090637207,72.77587127685547,0.6767374277114868,40.698123931884766,0.1875,91,21.373111724853516
0.03138145059347153,4.008403778076172,0.10795259475708008,59.510093688964844,0.7964814305305481,40.189292907714844,0.18269230769230768,85,16.24357032775879
0.02203969657421112,3.3592147827148438,0.1702331304550171,55.66148376464844,0.7337638735771179,25.90265464782715,0.36538461538461536,33,13.306366920471191
0.01663956791162491,2.918811082839966,0.11583548784255981,46.74346923828125,0.8091853857040405,29.59613609313965,0.22413793103448276,45,18.61724281311035
0.003917386755347252,1.4162280559539795,0.03260445594787598,21.092117309570312,0.9491428732872009,27.408924102783203,0.45454545454545453,24,12.427440643310547
0.005264826584607363,1.641825556755066,0.030682742595672607,23.337467193603516,0.9563692808151245,32.25830841064453,0.6785714285714286,18,11.45639419555664
0.006153239868581295,1.7749531269073486,0.04136180877685547,29.13050079345703,0.9356616735458374,32.61488342285156,0.47540983606557374,32,19.066530227661133
0.021255645900964737,3.298922538757324,0.12085902690887451,52.43312072753906,0.7781060338020325,34.869773864746094,0.3013698630136986,51,17.650846481323242
0.001728957868181169,0.9408647418022156,0.011815011501312256,14.899374961853027,0.9834648370742798,30.7305850982666,0.7735849056603774,12,12.72795581817627
0.02938905917108059,3.8790719509124756,0.10245275497436523,62.687339782714844,0.8098941445350647,44.518978118896484,0.2777777777777778,78,23.329187393188477
0.01311921514570713,2.5917248725891113,0.11780840158462524,39.89265441894531,0.8235979676246643,21.786062240600586,0.3191489361702128,32,13.275959968566895
0.005877796560525894,1.7347713708877563,0.04442393779754639,28.621288299560547,0.9307292103767395,24.807300567626953,0.24324324324324326,28,16.4720458984375
0.01309354417026043,2.5891880989074707,0.08604609966278076,38.381736755371094,0.8737948536872864,26.078529357910156,0.296875,45,12.407829284667969
0.018372416496276855,3.067030668258667,0.08583927154541016,50.21076965332031,0.8483006954193115,36.41572189331055,0.20930232558139536,68,25.644113540649414
0.018435440957546234,3.07228684425354,0.09198588132858276,50.25672912597656,0.8322616815567017,35.41670608520508,0.2894736842105263,54,24.56791114807129
0.022067544981837273,3.3613364696502686,0.08256471157073975,51.099151611328125,0.8659345507621765,38.196754455566406,0.2127659574468085,74,13.410880088806152
