MSE,Euclidean Distance,Cosine Distance
0.02001315727829933,3.20105242729187,0.3344877362251282
0.01943899691104889,3.1548006534576416,0.49362730979919434
0.023792264983057976,3.490220546722412,0.5400373935699463
0.007052501663565636,1.9002318382263184,0.19476377964019775
0.01402728259563446,2.679919481277466,0.49122607707977295
0.0461663082242012,4.861805438995361,0.5372732281684875
0.02291576750576496,3.425328254699707,0.43827205896377563
0.029157251119613647,3.863743305206299,0.5401899218559265
0.014919346198439598,2.7638208866119385,0.4472545385360718
0.01502586156129837,2.7736692428588867,0.5037982165813446
0.021418968215584755,3.311572313308716,0.5535553395748138
0.013217614963650703,2.601426362991333,0.39690327644348145
0.029337311163544655,3.875655174255371,0.6717931032180786
0.04990752041339874,5.054963111877441,0.5139501392841339
0.045557901263237,4.829663276672363,0.5914564728736877
0.046180360019207,4.862545013427734,0.6315876543521881
0.017546935006976128,2.9973373413085938,0.4250760078430176
0.036886684596538544,4.345800399780273,0.6048992872238159
0.033677153289318085,4.152433395385742,0.5774602591991425
0.0234844908118248,3.4675724506378174,0.525791585445404
0.03499419987201691,4.232851505279541,0.5361083745956421
0.01390664093196392,2.668370246887207,0.42575061321258545
0.035910457372665405,4.28790807723999,0.5572892129421234
0.028930339962244034,3.848679542541504,0.5705103874206543
0.030858714133501053,3.9748787879943848,0.48369401693344116
0.015601277351379395,2.8262791633605957,0.2565891742706299
0.04228399693965912,4.652892112731934,0.5478396415710449
0.04091721400618553,4.577075004577637,0.5598134100437164
0.01786450669169426,3.024339199066162,0.36353975534439087
0.010328749194741249,2.2996346950531006,0.28344202041625977
0.03910265862941742,4.4744343757629395,0.4644930362701416
0.04646065831184387,4.877279758453369,0.5261522233486176
0.019781120121479034,3.182441473007202,0.4584658145904541
0.03467407822608948,4.213446140289307,0.539484053850174
0.015405927784740925,2.8085289001464844,0.44708752632141113
0.0347466878592968,4.217855453491211,0.5315079092979431
0.02603324130177498,3.650892972946167,0.513381153345108
0.029395606368780136,3.8795039653778076,0.6800748705863953
0.03365740925073624,4.15121603012085,0.4909707307815552
0.023546308279037476,3.4721333980560303,0.4040210247039795
