MSE,Euclidean Distance,Cosine Distance
0.40203768014907837,2.8356223106384277,0.5215167999267578
0.7569571733474731,3.8909051418304443,0.9784726202487946
1.9765666723251343,6.287395000457764,1.3178918063640594
0.9663223624229431,4.396185398101807,0.7853524535894394
0.45160531997680664,3.0053462982177734,0.5671373307704926
1.3859003782272339,5.26478910446167,1.162161335349083
0.72402423620224,3.8053231239318848,0.6691163778305054
0.797369122505188,3.993417263031006,0.9002692550420761
0.40797099471092224,2.8564698696136475,0.5107259154319763
0.5963247418403625,3.4534757137298584,0.7873694002628326
0.9087048768997192,4.263108730316162,0.9526910185813904
0.5957576632499695,3.4518332481384277,0.6944875121116638
1.1451036930084229,4.785611152648926,0.8751751482486725
0.6792809367179871,3.6858675479888916,0.8399685621261597
0.5205551981925964,3.226624011993408,0.6859893798828125
1.1178364753723145,4.728290557861328,0.921282023191452
0.7833521366119385,3.9581615924835205,1.0206289887428284
0.7004880905151367,3.7429616451263428,0.6483716666698456
0.7611732482910156,3.901726007461548,0.7244547307491302
0.491333931684494,3.1347532272338867,0.5926105380058289
0.5558962821960449,3.334355354309082,0.5900396406650543
0.4710255265235901,3.0692849159240723,0.8019189834594727
0.4811142086982727,3.101980686187744,0.5769582688808441
1.4551969766616821,5.394806861877441,0.7960922718048096
0.6488901376724243,3.6024715900421143,0.9280305206775665
0.7963104248046875,3.990765333175659,0.9368507117033005
0.33627960085868835,2.593374729156494,0.508476197719574
0.792788565158844,3.9819304943084717,1.045484833419323
0.40882959961891174,2.859473943710327,0.5167710781097412
